id,macro_area,category,promess,description,quality,fulfillment,ponderator,readmore_fulfillment,readmore_quality,quality_cat,quality_macro_area,quality_total,fulfillment_cat,fulfillment_macro_area,fulfillment_total,quality_pond,fulfillment_pond,destacado,comision,link
1,"Principios, derechos y garantías de NNA","Reconocimiento constitucional de Niños, Niñas y Adolescentes","Derechos de Niños, Niñas y Adolescentes","Artículo 11. Derechos de niñas, niños y adolescentes. 
Inciso 1. Las niñas, niños y adolescentes son titulares de todos los derechos y garantías establecidas en esta Constitución, en las leyes y tratados internacionales ratificados y vigentes en Chile.",7.0,100%,,El inciso se encuentra aprobado para el borrador de la nueva Constitución.,"El inciso considera que Niños, Niñas y Adolescentes sean reconocidos como titulares de derecho",7.000,5.909090909,,100%,78%,,,,,"Principios Constitucionales, Democracia, Nacionalidad y Ciudadanía",https://www.chileconvencion.cl/wp-content/uploads/2022/04/CONSOLIDADO-NORMAS-APROBADAS-PROPUESTA-CONSTITUCIONAL-POR-EL-PLENO-DE-LA-CONVENCION-3.pdf
2,"Principios, derechos y garantías de NNA","Reconocimiento constitucional de Niños, Niñas y Adolescentes","Derechos de Niños, Niñas y Adolescentes","Artículo 11.- Derechos de niñas, niños y adolescentes. 
Inciso 2. El Estado tiene el deber prioritario de promover, respetar y garantizar, sin discriminación y en todo su actuar, los derechos de niñas, niños y adolescentes, resguardando su interés superior, su autonomía progresiva, su desarrollo integral y a ser escuchados y a participar e influir en todos los asuntos que les afecten en el grado que corresponda a su nivel de desarrollo en la vida familiar, comunitaria y social.",7.0,100%,,El inciso se encuentra aprobado para el borrador de la nueva Constitución.,"El inciso contempla los principios de la Convención sobre los Derechos del Niño y el rol del Estado en promover, respetar y garantizar los derechos de niñas, niños y adolescentes. También considera el interés superior del niño/a como una consideración primordial en las decisiones y políticas públicas que implemente el Estado. También contempla mecanismos para que niños, niñas y adolescentes ejercen y gocen sus derechos conforme a la evolución de sus facultades y madurez.",7.000,5.909090909,,100%,78%,,,,,"Principios Constitucionales, Democracia, Nacionalidad y Ciudadanía",https://www.chileconvencion.cl/wp-content/uploads/2022/04/CONSOLIDADO-NORMAS-APROBADAS-PROPUESTA-CONSTITUCIONAL-POR-EL-PLENO-DE-LA-CONVENCION-3.pdf
3,"Principios, derechos y garantías de NNA","Rol del Estado, familia y sociedad respecto a la niñez","Derechos de Niños, Niñas y Adolescentes","Artículo 11.- Derechos de niñas, niños y adolescentes.
Inciso 2. El Estado tiene el deber prioritario de promover, respetar y garantizar, sin discriminación y en todo su actuar, los derechos de niñas, niños y adolescentes, resguardando su interés superior, su autonomía progresiva, su desarrollo integral y a ser escuchados y a participar e influir en todos los asuntos que les afecten en el grado que corresponda a su nivel de desarrollo en la vida familiar, comunitaria y social.",7.0,100%,,El inciso se encuentra aprobado para el borrador de la nueva Constitución.,"El inciso contempla los principios de la Convención sobre los Derechos del Niño y el rol del Estado en promover, respetar y garantizar los derechos de niñas, niños y adolescentes. También considera el interés superior del niño/a como una consideración primordial en las decisiones y políticas públicas que implemente el Estado. También contempla mecanismos para que niños, niñas y adolescentes ejercen y gocen sus derechos conforme a la evolución de sus facultades y madurez.",4.000,5.909090909,,50%,78%,,,,,"Principios Constitucionales, Democracia, Nacionalidad y Ciudadanía",https://www.chileconvencion.cl/wp-content/uploads/2022/04/CONSOLIDADO-NORMAS-APROBADAS-PROPUESTA-CONSTITUCIONAL-POR-EL-PLENO-DE-LA-CONVENCION-3.pdf
4,"Principios, derechos y garantías de NNA","Rol del Estado, familia y sociedad respecto a la niñez","Derechos de Niños, Niñas y Adolescentes","Artículo 11.- Derechos de niñas, niños y adolescentes. 
Inciso 4. Las familias tienen un rol de garantes en el desarrollo integral de niños, niñas y adolescentes. Es deber del Estado reconocer este rol, donde la sociedad y comunidades coparticipan activamente y dar el apoyo necesario para la realización de este.",1.0,0%,,El inciso fue devuelto a la Comisión de Principios Constitucionales para segunda propuesta.,"El inciso considera que a la familia son garantes de los derechos de Niños, Niñas y Adolescentes. No considera el rol de orientación de ejercicio de los derechos de Niños, Niñas y Adolescentes ni el fortalecimiento de este.",4.000,5.909090909,,50%,78%,,,,,"Principios Constitucionales, Democracia, Nacionalidad y Ciudadanía",https://docs.google.com/document/d/1ifcKf9pzCetm2x62eRcBvJzhUpZy3imd/edit?usp=sharing&ouid=116363146949468403881&rtpof=true&sd=true
5,"Principios, derechos y garantías de NNA",Principios de actuación del Estado con NNA,"Derechos de Niños, Niñas y Adolescentes","Artículo 11.- Derechos de niñas, niños y adolescentes. 
Inciso 2. El Estado tiene el deber prioritario de promover, respetar y garantizar, sin discriminación y en todo su actuar, los derechos de niñas, niños y adolescentes, resguardando su interés superior, su autonomía progresiva, su desarrollo integral y a ser escuchados y a participar e influir en todos los asuntos que les afecten en el grado que corresponda a su nivel de desarrollo en la vida familiar, comunitaria y social.",7.0,100%,,El inciso se encuentra aprobado para el borrador de la nueva Constitución.,"El inciso contempla los principios de la Convención sobre los Derechos del Niño y el rol del Estado en promover, respetar y garantizar los derechos de niñas, niños y adolescentes. También considera el interés superior del niño/a como una consideración primordial en las decisiones y políticas públicas que implemente el Estado. También contempla mecanismos para que niños, niñas y adolescentes ejercen y gocen sus derechos conforme a la evolución de sus facultades y madurez.",7.000,5.909090909,,100%,78%,,,,,"Principios Constitucionales, Democracia, Nacionalidad y Ciudadanía",https://www.chileconvencion.cl/wp-content/uploads/2022/04/CONSOLIDADO-NORMAS-APROBADAS-PROPUESTA-CONSTITUCIONAL-POR-EL-PLENO-DE-LA-CONVENCION-3.pdf
6,"Principios, derechos y garantías de NNA",Garantías de los derechos de NNA y mecanismos de priorización,"Derechos de Niños, Niñas y Adolescentes","Artículo 11.- Derechos de niñas, niños y adolescentes. 
Inciso 5. La ley establecerá un sistema integral y universal de garantías de los derechos a los que se refiere este artículo, a través del cual establecerá responsabilidades específicas de los poderes y órganos del Estado y su deber de trabajo intersectorial y coordinado para asegurar la promoción y protección efectiva de los derechos de niñas, niños y adolescentes.",7.0,100%,,El inciso fue devuelto a la Comisión de Principios Constitucionales para segunda propuesta.,"El inciso considera el reconocimiento constitucional del sistema de garantías de derechos de Niños, Niñas y Adolescentes",7.000,5.909090909,,100%,78%,,,,,"Principios Constitucionales, Democracia, Nacionalidad y Ciudadanía",https://www.chileconvencion.cl/wp-content/uploads/2022/04/CONSOLIDADO-NORMAS-APROBADAS-PROPUESTA-CONSTITUCIONAL-POR-EL-PLENO-DE-LA-CONVENCION-005-1.pdf
7,"Principios, derechos y garantías de NNA",Institucionalidad de NNA y sus sistemas,Defensoría de los Derechos de la Niñez,"Artículo 29. Defensoría de los Derechos de la Niñez.
Existirá un organismo autónomo, con personalidad jurídica y patrimonio propio, denominado Defensoría de los Derechos de la Niñez, que tendrá por objeto la difusión, promoción y protección de los derechos de que son titulares los niños, en conformidad a la Constitución Política de la República, a la Convención sobre los Derechos del Niño y a los demás tratados internacionales ratificados por Chile que se encuentren vigentes, así como a la legislación nacional, velando por su interés superior. La ley determinará la organización, funciones, financiamiento y atribuciones de la Defensoría de los Derechos de la Niñez",7.0,100%,,El artículo fue aprobado en la Comisión de Sistemas de Justicia. ,El artículo plantea que la Defensoría de los Derechos de la Niñez es autónomo y establece rango constitucional.,7.000,5.909090909,,100%,78%,,,,,"Sistemas de Justicia, Órganos Autónomos de Control y Reforma Constitucional",https://www.cconstituyente.cl/comisiones/verDoc.aspx?prmID=2617&prmTipo=DOCUMENTO_COMISION
8,"Principios, derechos y garantías de NNA",Derecho de sufragio de NNA,Sufragio,"Artículo 56.- En las votaciones populares, el sufragio será universal, igualitario, libre, directo, secreto y obligatorio para las personas que hayan cumplido dieciocho años. Su ejercicio constituye un derecho y un deber cívico.
El sufragio será facultativo para las personas de dieciséis y diecisiete años de edad.
Las chilenas y chilenos en el exterior podrán sufragar en los plebiscitos nacionales y elecciones presidenciales y de diputadas y diputados. Para esto se constituirá un distrito especial exterior.
La ley establecerá las condiciones para asegurar el ejercicio de este derecho.
El resguardo de la seguridad pública durante las votaciones populares y plebiscitarias corresponderá a las instituciones que indique la ley.",7.0,60%,,El artículo fue devuelto a la comisión de Sistema Político para segunda propuesta.,El artículo considera el derecho a sufragio facultativo para las personas de 16 y 17 años,7.000,5.909090909,,60%,78%,,,,,"Sistema Político, Gobierno, Poder Legislativo y Sistema Electoral",https://docs.google.com/document/d/1L0_WcpnALGoOkvFFGtquv8pB8K87fWG_/edit?usp=sharing&ouid=116363146949468403881&rtpof=true&sd=true
9,"Principios, derechos y garantías de NNA",Derecho a un ambiente familiar,"Derechos de Niños, Niñas y Adolescentes","Artículo 11.- Derechos de niñas, niños y adolescentes. 
Inciso 3. El Estado deberá velar porque no sean separados de sus familias salvo como medida temporal y último recurso en resguardo de su interés superior.",7.0,100%,,El inciso fue devuelto a la Comisión de Principios Constitucionales para segunda propuesta.,"El inciso no considera la garantización de instituciones de protección especializadas idóneas cuando niños, niñas y adolescentes sean separados de sus familias. ",4.000,5.909090909,,50%,78%,,,,,"Principios Constitucionales, Democracia, Nacionalidad y Ciudadanía",https://www.chileconvencion.cl/wp-content/uploads/2022/04/CONSOLIDADO-NORMAS-APROBADAS-PROPUESTA-CONSTITUCIONAL-POR-EL-PLENO-DE-LA-CONVENCION-005-1.pdf
10,"Principios, derechos y garantías de NNA",Derecho a un ambiente familiar,"Derechos de Niños, Niñas y Adolescentes","Artículo 11.- Derechos de niñas, niños y adolescentes. 
Inciso 4. Las familias tienen un rol de garantes en el desarrollo integral de niños, niñas y adolescentes. Es deber del Estado reconocer este rol, donde la sociedad y comunidades coparticipan activamente y dar el apoyo necesario para la realización de este.",1.0,0%,,El inciso fue devuelto a la Comisión de Principios Constitucionales para segunda propuesta.,"El inciso considera que la familia son garantes de los derechos de Niños, Niñas y Adolescentes. No considera el rol de orientación de ejercicio de los derechos de Niños, Niñas y Adolescentes ni el deber del Estado del fortalecimiento de las familias.",4.000,5.909090909,,50%,78%,,,,,"Principios Constitucionales, Democracia, Nacionalidad y Ciudadanía",https://docs.google.com/document/d/1ifcKf9pzCetm2x62eRcBvJzhUpZy3imd/edit?usp=sharing&ouid=116363146949468403881&rtpof=true&sd=true
